,text
54,回复@鄧阿豪Corki:你变态呗
55,那为什么你们大大去了趟美帝  签了一堆波音回来  你们强强签了一堆空客回来？
56,回复@剑撩飞絮:波音和空客哪个不是靠一次次的空难发现问题，解决问题的
57,回复@Sure_York: 成功的飞机要靠死人来不断改进 呵呵 这逻辑真是好
58,回复@痞老扳:那您有本事造个发动机来看看
59,回复@向常乐:哪里造的都是别人造的，你的本事就是满大街卖弄我知道这个发动机不是中国造的！
60,我坐。
61,因为“梦想”去造飞机，哈哈哈，有现成的先进的不用，不去考虑商业定位和理性需求，不可能会成为一流飞机的
62,
63,阎良西飞
64,波音和空客也有国产的部分，你们坐吗
65,家日後搭南航飛機的時候，要多加留意了。因為南航也是這飛機的採購商之一。
66,回复@聚变能源:发动机本来就不是飞机制造商的事情，而是发动机供应商的事情。波音空客也不造发动机
67,吹，继续吹，发动机能造吗？
68,回复@Z-Cub:香港用的字和你们不一样啊，你们用的字香港不用啊。谢谢。不回了啊。
69,@有没有一百个小面包 好，那你们香港怎么没有自己的cpu，没有自己造的飞机？你们香港为什么没有自己的文字？为什么要用中国人发明的文字？
70,空军田阳机场领导派人去河南处理我老家房子被地方政府强拆一事，吃好处，卖我老宅，克扣我们五千块钱至今三年多不给，还百般抵赖，投诉到北京派调查组调查，调查了九个多月过去了，至今没人理会，不给结果，领导官官相护，弄虚作假，欺上瞒下！现在是路路不通，官官相护太严重，发微博实属无耐之举！
71,听说：第一个9表示天长地久，后面的19表示最大乘客数是190人，c929表示最多能坐290人。
72,回复@Z-Cub:因为香港不用封锁，你们都关在防火墙里面。
73,@有没有一百个小面包 接着说，香港发展这么多年了，怎么社交网站还是用别国的？软件app怎么还是用别国的，怎么到现在都没有自己做的？
74,门信号系统，美国Crane;轮胎，美国米其林飞机轮胎公司；教学模拟机，美国麦克维尔科林斯。
75,回复@Z-Cub:所以你们还要挤破头来香港，排着队想要香港居留权。。
76,@有没有一百个小面包 香港人？我们国家的事当然与你无关。香港和国际接触这么多年，你们香港怎么还造不出来cpu，怎么还造不出来大飞机？
77,飞机的制造商向来不造发动机，波音空客亦是如此！
78,相信该机的技术性能一定高于它的外观美术。
79,必然的选择，要是从部件做起，飞机出来后会没人坐，
80,查了下。发动机，GE；辅助动力APU，美国霍尼韦尔；发动机反推，法国埃塞；飞行控制系统，美国派克宇航；气象雷达，美国柯林斯；电源系统美国霍尼韦尔；驾驶舱控制与仪表照明，美国伊顿；机翼防冰，德国霍尼韦尔；燃油系统，美国派克宇航；飞行记录仪，GE；防火检测系统，英国凯德；起落架美国霍尼韦尔
81,回复@阿钰会会会长:不回了，没话可说，你继续为你国骄傲去吧。88
82,回复@有没有一百个小面包:新美国？哪来的新美国？原来还有个旧美国啊？什么时候被推翻的？呵呵，你5000年前就能用手机上网了，真他妈牛逼。
83,回复@阿钰会会会长:新美国才多少年？你们国家早干嘛去了？
84,回复@拍砖不降杜光亭:C919连首飞都还没有呢，一起空难都没有，有多少问题还等着通过空难的累积来发现呢
85,管你们坐不住，反正我要去坐
86,回复@有没有一百个小面包:你是逗比么新中国真正走上快速发展才多少年
87,回复@阿钰会会会长:不年轻，美国200多年，中国5000年了，谢谢！
88,不知道评论里刷领导先坐的是什么心态。中国自产的客机经历了从无到有的过程，他们不兴奋反而冷嘲热讽这又是什么心态。从飞机实验到生产下线，期间必定经过无数次试验，你们敢保证没有一个商用飞机的领导坐过？
89,回复@有没有一百个小面包:我只想说一句，中国不是全能的，中国能用短短几十年的时间从一个几乎一无所有的境况发展到许多国家都无法企及的地步，我们应该骄傲了。现在的中国，还年轻。
90,回复@柔情-如夢:好，期待期待~
91,回复@飞行少女酱:快去睡啦我等会儿上传视频~
92,哈哈，他们国家就那样。。。//@鄧阿豪Corki:那为什么你们大大去了趟美帝  签了一堆波音回来  你们强强签了一堆空客回来？
93,回复@Ed-Woodward:刚发展高铁时，你们说要停下脚步等等灵魂，现在不也坐上高铁了，这么快就把灵魂丢了？
94,领导先坐！
95,回复@阿钰会会会长:当年很多人说中国造不出cpu，现在还是。。。造不出能用的来
96,回复@life-中本聪:键盘总设计师你好
97,所谓国产大飞机C919：短舱和起落架系统来自美国古德里奇公司，航电系统来自美国GE公司，辅助动力系统，发动机来自波音提供，飞行控制系统等由美国霍尼韦尔公司提供，燃油系统由美国伊顿集团提供，空气管理系统来自德国，天花板卫生间，内饰系统由奥地利FACC公司提供，飞机最核心的零配件座椅是国产的！
98,回复@Ed-Woodward:有点常识好么新技术出来哪个不是领导试验？
99,回复@柔情-如夢:好棒！
100,回复@飞行少女酱:拖出来从我面前经过的时候真的好激动好激动，早上冻成狗那一刻却热出一身汗，虽然它的大多数机械加工零件都是我审查的，但最后装配在一起的样子是第一次见到，就像第一次见到自己的孩子一样（[最右]说得好像我已经当过爸爸似的）
101,回复@Ed-Woodward:我想起了当初刚发展高铁的时候。网上一大片说要停下脚步等等灵魂，现在不也坐上高铁了，这么快就把灵魂丢了？当初喷高铁的群体里有没有你？
102,@有没有一百个小面包 我是个美粉，谢谢，但是也要客观地看待我国和俄罗斯的差距，之前普京不是试驾俄罗斯自主品牌的新车吗？这和我国政府支持的比亚迪有什么差别？虽然我是亲美国的，但是我国的领导人是亲俄罗斯的。
103,@柔情-如夢
104,回复@肥康要努力上进:俄国爹的民用产品比如汽车真精细，，能造但烂的。。。
105,回复@听述: 我国的军用飞机的发动机主要是用俄罗斯的技术，我国最牛逼的洲际弹道导弹“东风”-31B就是模仿俄罗斯白杨导弹的，这些都是解放军公布的消息。其实俄罗斯什么轻工业产品都能生产，只不过进口中国的更加便宜，俄罗斯普工工资高，用工成本高，令人误以为俄罗斯轻工业落后，它的自给率大概三成
106,当年很多人都说中国造不出原子弹、氢弹，结果呢？
107,载客多少啊？
108,回复@zhaobolong:这个比飞船还要难，那个一次性使用。懂吗？
109,回复@水北:你永远只看到国家不好的一面
110,那些说质疑的人是喷子的，你们难道忘了动车了？忘了天津爆炸了？三峡从抵抗百年一遇到五年一遇、驾考行贿、办事就得请客送礼……算了不说了，不是不相信技术，是不相信人。狼来了的故事小时候都看过，一次又一次糊弄别人，就不要怪再一次的时候，别人不信。要求设计者自己先坐，在这种背景下是合理的
111,这是一个艰难又必经的过程，即使全是外国零件组装，也希望能早日消化吸收，振兴中国高端制造业。加油，中国!
112,：公知们是可爱的。辽宁舰拉回来时冷嘲热讽：连舰载机都没有搞航母有什么用？  后来我们有了歼15，公知们失语了，高铁刚建的时候公知们冷嘲热讽：停下来等等人民的灵魂吧！后来高铁规模影响力逐渐变大，公知们又失语。这次国产大飞机问世。看到公知们继续冷嘲热讽。我悬着的心放了下来，这飞机肯定靠谱
113,大国崛起。。。给力。意义深远。。。。。
114,这个不是我说，以后买机票付款前要先确认一下机型了
115,多钱一架？
116,终于盼到这一天！C919下线！
117,太好了，习大大先做@学习粉丝团
118,工业制造能力体现。
119,真正要做才知道有多难，这点键盘侠是不知道的！一切从零开始研发，没有任何经验，给任何国家30年，能说造出一架波音737？空客A320？这两家公司也是从二战就开始积累经验啊！所以纠结于国产化率低其实是没有必要的，这就是中国工业的现实，没有一个完整的工业体系，想要造出真正属于自己的大飞机，难！
120,让国家领导人先
121,先给现任常委及前党和国家领导人都配上一辆再说
122,常委一人一台做专机先。
123,回复@听述:没有然后，我看到你和网友讨论俄罗斯科技，我想说一下我知道的事而已。
124,回复@肥康要努力上进:然后呢？好像我没说什么吧
125,转发微博
126,米国哈日狗在咆哮！然并卵！
127,回复@弄啥嘞净搁这乱哩:你在跟我说一遍俄罗斯没有科技？
128,@弄啥嘞净搁这乱哩 我国的军用飞机的发动机主要是用俄罗斯的技术，我国最牛逼的洲际弹道导弹“东风”-31B就是模仿俄罗斯白杨导弹的，这些都是解放军公布的消息。其实俄罗斯什么轻工业产品都能生产，只不过进口中国的更加便宜，俄罗斯普工工资高，用工成本高，令人误以为俄罗斯轻工业落后，它的自给率
129,回复@一闪一闪SHAN:这就是商业的现实，理想与现实的差距。现在国内的风气就是谈理想，卖理想，造大飞机这不是一个理想主义的概率事件，如果你尊重社会和市场的现实，去定位去改进去发展，就可以成功。。就像可能90%的学生都认可并希望好好学习，然而问题是如何做到。所以提高成绩水平不能靠讨论好好学习这个思想对不对。
130,回复@忘词的演员:连圆通快递都买了波音飞机了，难道包裹也嫌颠簸，不愿坐国产飞机？以美国定位的世界分工，中国是没有资格发展自主飞机产业的，最多做做组装工！不过呢，有总比没有好，明知是小概率事件，总要搏一搏，万一成功了呢！这才是自主国家的底气。
131,回复@zhaobolong:都是被新舟60吓的
132,回复@弄啥嘞净搁这乱哩:我想请问你朝鲜现在用的民航飞机是哪个国家的。对了，巴西的大飞机你见过吗？庞巴迪也是美国欧盟的？
133,回复@听述:你有毛病吗？我说的是客机。
134,这种国家级的项目用料还是可以放心的
135,回复@听述:我说的是客机
136,国产飞机尽量少坐，波音和空客的安全性是靠多少次空难积累下来的教训和经验堆起来的，国产大飞机目前白纸一张，所有乘客都是试验品
137,喷子们还以为研发设计和系统集成是很简单的事，就如天河超级计算机，组装电脑谁不会。C919和运20不一样，大飞机是一个政治象征，更是一个商业项目。在经济全球化的今天，单纯追求每个零部件的国产意义不大，更应该强调利润大部分在谁那里和能否促进产业发展。目前订单数应该足以支撑大飞机的后续研发。
138,回复@弄啥嘞净搁这乱哩:呵呵呵，俄罗斯和乌克兰是吃屎的啊
139,回复@听述:除了美国和欧盟，能制造大飞机的就是中国了。
140,金融租赁公司估计已经下订单了吧？听说哈飞也参与了？请告知具体是哪个部分？也让我小自豪一把？
141,"回复@一闪一闪SHAN:国内市场潜力很大的，了解了国外才发现中国绝对是全世界的肥肉。通过扶持成长速度绝对让西方坐不住，他们也知道或者说其实比国民更深刻知道这一点，悲剧就是我们自己胡搞！扶持变成干预，外行领导内行,任务完成不了了之，反正以后的事是下届的。"
142,卖了辣么多了
143,回复@忘词的演员:买了300架美国飞机，宁波还有总装厂，还有什么市场留给国产大飞机呢？总靠国家投资，没市场能撑多久？以前国产运输机就是同样的方法被搞没落的，出生之日就是祭日啊！我不相信在国产大飞机快下线的时候，国家领导人会自愿做出采购300架美国飞机的决定！
144,中国人自己的大飞机下线了！同时也为师兄沈彦炜律师团队鼓掌！这样的律师团队是我们学习的榜样！
145,中国人自己的打飞机下线了！同时也为师兄沈彦炜律师团队鼓掌！这样的律师团队是我们学习的榜样！
146,习大大敢坐嘛
147,研制飞机本来就是主要满足国内市场的。
148,"回复@一闪一闪SHAN:你说对了，就是要有话语权。其实以现在中国的能力，造大飞机并商业化确实是一件非常困难的事情，内有技术差距,外部有成熟产品。但这本不是一件悲壮的事，因为必然国家会支持，而国内大市场也是一个难得的优质土壤。悲剧在于一个被滥用的词&quot;体制&quot;，我们攻克了技术的难关却拿不出好的产品或者说商品"
149,让领导先坐！直接成为国家领导人专用机最好了。当年动车失事事件我还没忘，各位国民你们都忘了吗？事件起因是什么？死伤家属是如何安顿赔偿的？事件负责人是如何处置的？
150,回复@黑-名-单:造车技术高还是造飞船火箭技术高，为什么中国神10可以上天，跑车法拉利故乡意大利就不能，至少它没有上天？？？？？？？按照你的逻辑，，，，，，
151,造汽车的难度大还是造飞机的难度大？？当然是造飞机的难度更大。嗯，造部像样的车都没法跟人比，你说你造的飞机能跟人家的比？……我说服不了自己。
152,"感觉比例和737不同 ,希望能飞"
153,回复@红旗下的小骷髅:你就是一傻逼！
154,回复@钟耳1980:723怎么处理的，中国特色问题在人，不光是物，而且高铁走出国门是靠压价的。新洲60，arj21都是垃圾，我不愿意冒险。737，320都好好的，我好死不死的坐垃圾国货干嘛？犯贱么？
155,回复@忘词的演员:不是刚采购了300架美国飞机吗？大飞机下线的时刻，大规模采购美国飞机，引进波音总装线，我怀疑有多少是中国政府自愿的，世界秩序如此，有话语权才能不被限制，明知道中国的大飞机产业没有机会发展起来，还是为大飞机下线自豪，中国大飞机科研人员和以前的运输机科研人员一样在从事一项悲壮的事业。
156,&quot;國內外&quot;21家公司購買，19中國公司，海外1家中國擁有股份，剩下一家海外公司
157,我为祖国自豪！
158,奶粉都做不好
159,我为那些奋斗在强国征途上的人们点赞！不过为刚才没有看到发动机是不是自主知识产权的。
160,学过流体力学你就知道那个壳子有多难
161,我要为祖国点赞！不过发动机是不是自主知识产权的没有交代清楚。
162,中国人自己的大飞机，嗯
163,回复@红旗下的小骷髅:新舟还行。。作为飞机掉不下来，就是乘坐体验简直是灾难级。。。咱国产的好多东西其实起点挺高，然而造出来任务就完了，不管继续往好了造。。。
164,国内的飞机部件供应商，各个方面应该是因为C919被提升了不止一个档次，你们有福啦。
165,F
166,安不安全？
167,回复@阿葵鞋子特大号:哪里买的？毕竟发动机是个飞机关键部件啊
168,回复@风吹碎的记忆best:那我想问，波音和空客的发动机是哪里的。
169,回复@顿悟于最后一刻:有什么好喷大飞机的，公务员不也是大多在用国产手机吗？领导有转机如果用大飞机，你们这些喷子肯定又是骂领导奢侈，没专机的公务员，还不是和屁民一样，碰到哪个航班坐哪家飞机
170,这么好的飞机先让领导们坐三年。政府人员不准坐波音和空客
171,如果真的那么容易组装起来，那么全球就不会只有两家大飞机制造公司了。
172,嘟嘟～pull up～嘟嘟～pull up～嘟嘟～pull up～嘭……
173,[甩甩手]我们公司也参与了大飞机的一个小系统的建设，也许哪天也能和高铁一样发展起来呢，祝福了~
174,回复@鄧阿豪Corki:国家大计，社稷安危，必须要靠有主谋略的人！而非那些夸大其词，无理狡辩之徒；那些以虚荣自欺且欺人者！坐议立谈自以为无人可及者！而临危应变却无一能者！此诚为天下耻笑耳！
175,"回复@红旗下的小骷髅:搞这些这本来就很困难，就像街上已经有两家老字号你一个刚学厨艺的人还要开家新的似的 了。要做出来必须国家扶持,结果扶持了完全作为完任务了，没有拿出市场认可的东西,事倍功半。C919我倒不担心它会摔，个人觉得没什么竞争力，不能总靠援助砸市场吧，就比如我觉得国内高铁挺好的，就不该卖那么便宜。"
176,回复@忘词的演员:我觉得这个东西事故率这么高还能商业运营就已经说明问题了。中国航母让人自豪，因为我们不坐啊。作军事运输机没人管你闲事，投入民用市场就得掂量了。命只有一次，当然选择值得信赖的品牌啦。
177,大飞机，到底有多大？@头条新闻 @央视新闻
178,回复@汉堡是只猫01:如果搞垄断，就没有选择一说了。
179,喷子们誓死不坐就行了，在网上像疯狗似的狂喷也抵制不了国产，要用行动表达你们效忠国外主子的心才对。
180,建议先做领导专机做示范。。。
181,大飞机来了
182,请先给国家领导人先配备，飞几年，然后再给航空公司，新舟60就是个例子！
183,能否飞起来呢
184,为了消除大家的安全可靠性顾虑，应该这么宣传：有关部门负责人和生产企业老总带领主要设计生产工程师作为第一批乘客，多飞几个地方，然后呢，以后政府包机都必须使用相关机型。。。
185,真牛，真好！
186,牛！
187,回复@忘词的演员:十年前下线的新洲60已经砸了国产飞机的招牌。所以我要骂。狗命就一条。
188,回复@钟耳1980:中国现在在一些领域上确实很领先，比如我已经受够了欧洲这些吵得跟拖拉机似的冰箱。但不要觉得只要有意志啥都能办到，有些技术需要实践积累，中国和欧美日技术上的差距上其实挺大的。很多人虚的不是技术有没有，而是那些人为因素，国内可真是有关领导一句话，科研团队两行泪啊。
189,回复@红旗下的小骷髅:中国现在是世界工厂，你这种心态的话，就不要出门了。
190,航母和我没关系，火车地上跑，也不至于死无全尸，飞机还是洗洗睡吧，空客和波音摆着就别坐国货。国货除了害自己人还能干什么？
191,终于有咱自己生产大飞机好啊
192,高铁、大飞机、航母。我天朝霸气！！！
193,希望中国越来越强，但不要盲目追捧，看看C919配件供应商列表你就知道基本上国产的只有外壳。
194,下线了是件喜事啊 迈出了关键的一步 作为一枚工科生 航空发动机也只有通用电气和罗罗能生产 发动机国产显然还要更多年的努力才能完成 还有各个部件的电控系统也要逐步的国产化 我们的大飞机才算真的能在世界上占有一席之地
195,回复@兔小颜:是要夸嘛
196,回复@陌7生人:哎呦，破天荒的夸奖啊
197,赞一个！
198,回复@水北:德国高铁死亡人数比中国多N倍，日本高铁死的人也不少。波音空客年年都有飞机出事故。
199,回复@钟耳1980:自己看新洲60 arj21什么垃圾，就是几年前的东西。我日，波音从二战干到现在 我才相信他们的实力，空客也有30年。狗逼上肥才几年。我的命金贵，大家也一样。
200,请问，你敢坐吗？请如实回答！😁
201,今夜，请不要忘记还有一个人叫马凤山，愿919走出与运十不同的轨迹！
202,希望机务手册能用英文写，不然这台飞机对不起我，因为我是修飞机的#C919##民航#
203,你飞哪个航班，航班号公布出来，我绕着走。妈的，现在坐飞机都要看机型了。
204,回复@陈一苏一荣:你知道380亿美元吗
205,建议发动机用喷子的嘴做，全天候、无差别、风云无阻。
206,中国人坐可以打折？激动个啥，和屁民没关系
207,380亿美元的飞机订单都给美国了，还下什么线
208,回复@建州清心居士:哪有这么大，388都没八九百吧
209,回复@wjl35846:香港很多大飞机，你去看双层客舱的飞机……单通道的飞机，顶多四五百座位。双通道的机舱，中间就五列，左右两边各三列。座位数即便不到千，至少八九百。
210,回复@每天帅得多一些:你是什么观点？改革还是认同现在这样就行了
211,回复@圣西罗的向往:虽然跟你政治立场不一定一样 虽然看你已经蓄势待喷，不过我还是很高兴终于有人看出了端倪😓
212,我觉得下一代商飞应该先由五毛吹牛逼吹升空再绑俩喷子作为发动机，一举达到宇宙领先水平。 大飞机很重要的，路要一点一点走，又不是造口锅一下子能全国产。。质疑也正常，大家不是虚技术，虚的是其中的中国特色人为因素。。
213,中国真棒，以你为傲
214,回复@每天帅得多一些:你自己明白你吹的那些东西是什么吗？
215,回复@LWWL的地盘:呵呵，高铁再危险，出事之后死亡率不会那么高。飞机就不一样了。我坐越洋都会尽量选择四发的747或340，避免双发的777或330也是这个原因
216,回复@嘉嘉嘉多宝:高铁很危险的，三百多公里出了事也是死路一条，都是国产的，别坐啦
217,在不经意间要变得越来越好。。。
218,有谁还会记得当年的运10？万事不去试试怎么知道行不行？
219,有点不敢坐
220,回复@Sean__Jing:是的，我对这些人已经完全无语了。感觉不能正常思维和沟通，貌似抨击就是他们的工作一样。
221,"回复@Hola海:他们已经从不能造飞机退守到不能造飞机上的发动机了。相信国产发动机不久就会出现。就像J20,Y20,神盾舰一样的默默等待着机会。到时候他们的喷点就是“不能造飞机上的发动机的轴承。。。”"
222,图片评论
223,那为什么习大大会去美国买灰机呢
224,关键问题：能坐多少人？没有讲。
225,回复@Sean__Jing:如果壳也是进口的 我就敢坐
226,回复@张小过y:有种你去给我造个壳子去。说的你能似的。
227,现在皮球踢到了各大航空公司头上了
228,回复@Sean__Jing:除了个别壳都是进口的
229,回复@鱼儿快步走121:还要等试验试飞验证
230,@更生先山 靠谱不？
231,一些国企可以当专机 老百姓可以坐空客波音
232,回复@圣西罗的向往:严重同意
233,回复@汉堡是只猫01:你自己先去看看这架飞机有几个部件能自产
234,回复@PPPeniciLLin:就怕人家封锁，不卖你核心部件，卖你空客，波音，利润更大。
235,傻逼真他妈的多。现在飞机都他妈的是找承包商做部件。飞机制造商有空空客波音庞巴迪巴西工业，飞机引擎有罗罗普惠GE  GKN这些公司！脑子有屎么从这喷各个部件都是别的公司！
236,这个可不是闹着玩的，要出人命的。
237,回复@老人家好脾气:人家可以不卖给你，发动机就堵住你嘴巴，以前上海也出过支线发机，结果了老美不卖你发动机了 。
238,回复@圣西罗的向往:呵呵，波音有几个部件是美国本地产的？
239,真的喷子真的只是一些文化水平较低的人，没多少文化，不必在意。大飞机这种国之重器对于一个国家很重要
240,真的不敢坐。
241,没有核心技术，人家西方国家到时候说封闭就封闭，就想以前的arj，人家老美发动机不卖给你，你有屁用。希望以后能够国产化
242,回复@汉堡是只猫01:就用外国技术和产品组装的一个东西，值得你这么兴奋吗？
243,回复@圣西罗的向往:嗯，那快改了，改你喜欢的。
244,谁敢坐？
245,回复@老人家好脾气:你自己去看看吧，波音基本上都是美国人自己的产品
246,回复@板三:我也会
247,回复@江左梅榔:我会座 网页链接
248,洗洗睡吧，你们的x大大专机是什么型号自己去百度
249,六点开始用时15分左右，我一边看一边想，这个广告打的果真牛掰！
250,回复@我也不知道叫什么名字嘤嘤嘤:
251,@安静的1999 你不要飞
252,回复@Hola海:别说发动机了，这架飞机就一空壳
253,领导专机先换上
254,太厉害
255,用喷子做发动机，喷子们才敢坐。。。
256,回复@汉堡是只猫01:中国几千年都没灭亡过，何来灭亡一说？只不过经过很多次改朝换代而已
257,内饰也漂亮！
258,回复@圣西罗的向往:嗯，中国要完蛋了，你开心就行。
259,perfect！
260,@高晓松
261,大大先坐
262,弯道超车。加油，最后做自己的
263,支持国产，多少年了，终于下线了。为那些为了大飞机梦不懈追求的人点赞，
264,这里边的喷子都是吐粪的把式。加油中国。
265,回复@圣西罗的向往:是啊，我也知道啊。能做个壳子出来已经不错了。
266,我們國家自己造的飛機
267,回复@圣西罗的向往:对，是我吹的，一切都是个骗局，你开心了吧。
268,回复@圣西罗的向往:独立自主造飞机，不是独立自主造发动机吧？你也在玩文字游戏？
269,进步！点赞 让领导先来
270,不过看看飞机订单。。。。笑而不语
271,真心高兴中国有自己的大飞机。。。
272,媒体大肆宣扬的国产飞机，看着这些制造商的国家分布，我也是笑出了眼泪，我当真的是自己造的。两个小引擎的小飞机顶多在国内飞飞，拉拉货，送送快递啥的，载客?笑而不语
273,不敢坐
274,飞机这么好，特供给领导。
275,@林小左287
276,回复@Hola海:不是号称独立自主吗？
277,让领导先坐
278,挺漂亮的！
279,几十年前就应该完成的事今天终于实现了，给习大大记一功
280,中国走到今天实属不易！给这些为中国富强而奋斗的人点赞，加油
