,text
23,回复@我有我生活0:如此不满“市场换技术”，那你想个办法出来啊！难道自己闷头干？或者干脆别生产，专买别人的？国货不行就干脆别去生产国货？你也知道一旦外国公司停止向中国出售各种零部件，中国就造不出来这些东西，那还不赶紧想办法让自己拥有造这东西的能力和技术！
24,回复@我有我生活0:你的意思是政府命令国内老百姓不准乘波音的飞机？还是说政府不准民航公司购买波音的飞机？
25,回复@北极熊自带腹肌:核心技术之一！漏了“之一”这两个字了！
26,回复@Reeen:是啊，每样都能买到，咋不见其他哪个国家拼一架出来
27,回复@北极熊自带腹肌:因为他们的总体集成技术不行呗！system integration 系统集成，这个就是我们的核心技术！
28,回复@loveamigo85:所以敌国反而愿意帮助中国，你是这意思吧
29,回复@诗词苑:1波音有重大技術含量的部件，都是人家自己的盟國、友好國家的產品；2波音部件來源中，算不上友好國家的，如你國，部件的發明、設計、產權、甚至生產流水線都是美國的，不過是在你國製造成本低廉，而不是美國沒用能力設計生產。3你國是最關鍵部件、技術都是外國的，而且是被小粉紅視為死敵的萬惡敵國
30,回复@逢坂河合律:你见过刚学会走路的婴儿和博尔特比吗？或许将来这个婴儿长大了，到了博尔特创造纪录的年纪他也无法打破博尔特的纪录，但你能说这个婴儿就不应该学走路？在某些领域不如别人就要放弃这个领域？就不要妄想追上别人也别去追了是吗？
31,很多人说什么波音也是全球化采购之类的话，不觉得很奇怪吗？这是在混淆概念，把企业和国家混为一谈。我们说的是以国家为主体的。美国就算不全球化采购它也能自己造出来，全球化采购只是降低成本的手段。中国呢？如果其他国家不卖给你关键零件中国可以造出来吗？如果不能就别吹是自主研发的了。
32,回复@逢坂河合律:我们可没有说“完全”自主研发啊！主要部件例如引擎需要进口我们承认，但其它技术就不算自主研发吗？总体集成不是核心技术？是，我们现在是没法造出某些部件，可能以后也追不上，毕竟某国最强而他也在不断进步，所以现在就拿我们和某国某些企业比，确定不是为喷而喷？
33,回复@逢坂河合律:919是中国商飞的啊 这难道不是一家公司
34,回复@ajielu啊界:未来飞机最大市场在中国
35,还没有正式开始商业飞行，就已经吹上天了。别光靠着国内的航空公司养活，国外的公司愿意用才是实力的体现，希望我能被打脸。
36,回复@手机用户不应有恨:你这种智障是不可能明白什么叫做system integration 系统集成啦
37,造一架民用飞机，除了外壳是自己的其余都是西方的有什么好吹的。到那一天是我们自己的发动机把飞机带上天再吹也来的及。
38,回复@loveamigo85:对对对 919就是垃圾还不如你家的纸飞机对吧 我是不是美分该到手了
39,回复@宇宇宇啊丶:但波音在中国（和中国友好的国家）的市场肯定会受影响，波音公司来自中国的订单肯定会有所下降，波音公司要想保住中国和一些国家的市场，就必须有所让步！波音在中国的市场还是蛮大的，而且在中国还有工厂！所以当我们要买他们的飞机或者是连带某些技术的时候，他们会考虑让步的！这就是我们的筹码！
40,回复@小咸-咸咸说:我觉得919筹码可能都算不上，因为919是拿不到FAA的适航证的，所以很多国家飞不了，就没有办法大规模推广。我认为只是为我国大飞机的制造打下了一个基础，有了这次经验相信以后的大飞机制造能更上一层楼。
41,回复@ajielu啊界:会有那一天的，配合国家战略生产出来的东西，不是淘宝上那些假货质量类型能比的了的！
42,回复@宇宇宇啊丶:当别人有能力有方法生产出自己需要的东西时，别人就不会买你的了！而你想让别人买你的东西，就应该降价或进行技术让利再或者是别的优惠！
43,回复@宇宇宇啊丶:可以想象，当中国完完全全掌握了大飞机制造技术，实现了大飞机的全国产，并能生产出质量性能比肩波音但价钱更低的飞机时，甚至可能都可能不需要达到这种程度，中国的飞机制造公司们就会这么干！到时波音在中国的市场不仅会丢掉，而且在全球的市场也会受到影响！
44,回复@小咸-咸咸说:客观的说，919还是不足以威胁波音空客在航空业的地位，不过我相信这是一个好的开始。
45,回复@宇宇宇啊丶:而且，当别人有能力有方法造出和你一样的东西时，别人也会开始卖这种东西！也就是说，一个原本让你挣钱的客户却反过来成为了抢你生意的竞争对手！这多可气！
46,回复@宇宇宇啊丶:威胁谈不上，波音的地位全球有目共睹，我并没有说它会威胁到波音的地位，我只是说c919会是我们与他们谈判（当我们要买他们的飞机时）中的筹码，它的出现标志着中国完全有能力有技术靠自己制造出这种水平的飞机，也有能力合其它外国公司合作生产出这种飞机。
47,可否先用作货机，安全飞行几年后再转客机？
48,回复@宇宇宇啊丶:坑中国人啊！c919一出来，我们和他们谈判的筹码就有了，他们肯定会让步，价格肯定会降下来！
49,回复@小咸-咸咸说:同类型的波音空客的飞机成本也许是比919低，但卖的绝对不比919便宜
50,回复@手机用户不应有恨:弱智就别跑出来丢人现眼
51,回复@Luygege:别逗了，那些喷子吃泡面多加根火腿肠就不错了，还坐飞机……
52,喷子们，你们以后坐飞机发现是C919，你们就都退票去吧，没人逼你坐
53,回复@Real-patriot-001:当然是美国忽悠的，可能是美国做了某些承诺，给中国出口大飞机，当时中国财政紧张也是一定的。然后既然有大飞机用了就不急于研制，所以下马运10，给其他更重要的武器比如歼20腾挪经费。这也是很合理的解释。
54,回复@哈哈呵呵美少男:恭喜你被公知和一部分deng家控制的媒体利益相关人洗脑了！你觉得这事能说出口吗？就是美国搞的鬼！我真纳闷了，美国可以搞藏独疆独轮子在海外，怎么一个运10都不相信呢？？我是真心说事实的！请相信！如果不是美国忽悠没运10的，我可以出门被车装死！
55,回复@凉凉YY1:再说你知道一开始原评论说的啥吗，他不知道什么叫自主产权，我告诉他，说他不要这么黑暗，国家会一点点变好，他说他自己生活在最底层啥的。我就说个多读书你就过来喷我?
56,回复@yaya丫伟:所以大家都多读读书去，刷什么微博！！
57,回复@凉凉YY1:呵呵，每个人都有自己的时间安排，不需要你操心了。
58,回复@凉凉YY1:我说我自己不是最低层了?
59,就稍微表扬了一下我国，键盘侠就一副受不了的样子，就是要多发类似的新闻稿，让仇恨我国的汉奸刺痛跳脚，看着开心。
60,回复@yaya丫伟:没有最底层人民的付出，你能吹那么多牛逼么？
61,回复@爱笑的小张宇:羊毛出在羊身上吧
62,回复@凉凉YY1:不管是不是，希望祖国繁荣昌盛
63,回复@减肥无望:呵呵，生活在底层就多读书，刷什么微博
64,这飞机太贵，坐不起
65,回复@巨囧蟹:打完日本，又自己人打自己人，台湾问题不一样没解决。
66,天天吹这些有用吗？！没听说历史上哪个强国是处于长时间分裂的状态！
67,回复@Steel_ai:反正到头来，取之于民用之于民。
68,回复@头条新闻top10:领导人坐国产机出访还早，首先这款机航程就不够，C919经过多年的更新换代系统升级，是有可能的，这只是一个开始。大飞机这个产业潜力大，A320系列和B737系列一亿美金左右，国内需求量很大，而且还在高速增长。况且很多原材料和零部件要单独预备用来维修，非常贵的，领过一个螺帽国产进口差距几十倍
69,回复@爱笑的小张宇:至少发动机不是吧
70,我不相信这完全是中国产的飞机？有跟我一样看法的吗
71,回复@凉凉YY1:啊哈哈哈谢谢 不必 说不过别人就开始诅咒别人的伎俩现在居然还有人用哎
72,回复@迪迪迪迪小朋友:有一天你飞机失事我会为你默哀三分钟的
73,回复@凉凉YY1:又是中国社会吹 敢问从哪里看来的 有没有足够的数据 以偏概全或者一概而论？ 加油 在忧国忧民的路上 争取不做危害国家和社会的事情哦
74,回复@迪迪迪迪小朋友:中国的社会就是这样的现实，别不承认好嘛！
75,回复@凉凉YY1:飞机失事有很多种方式 可以直接落到海里在撞击海面的时刻爆炸解体 可以在空中爆炸解体然后你因为气压的不平衡整个人突然爆炸 可以被发动机吸进去然后飘出来一阵红黑色的烟 或者你在从高空坠落机身大幅度颠簸的时候就吓死了  听话 飞机失事的概率和你被水呛死的概率一样多 千万别坐飞机
76,回复@虫叽叽-音频怪物1212生日快乐:朱门酒肉臭 ，路有冻死骨。
77,回复@凉凉YY1:哈哈那倒是挺多的，不仅物质贫困，精神也是贫困的
78,回复@逢坂河合律:呵呵……那你拼一个飞机试试
79,回复@二营长de意大利炮:这……这是友军吧
80,不让领导先坐一个来回吗？
81,回复@迪迪迪迪小朋友:不想飞海里连尸骨都找不到
82,回复@凉凉YY1:没有我 可是也没有你呀 啊哈哈哈
83,回复@ajielu啊界:呵呵
84,回复@爱笑的小张宇:其实你看空客和波音的零部件也是全世界采购来的人家也说是自己创造的，问题就在大家没有准确理解这个概念
85,回复@温斯顿的花园:最近美元给你少发了吧，再把第一句话改改你就失业了
86,C919并不是“独立自主 东风压倒西风”政治挂帅的产物。C919是中国人保持开放心胸在全球化条件下努力提升航空工业竞争力的尝试！是现有国情下，中国航空工程师们系统集成各国技术部件的结果。样机上天只是第一步，真正竞争力关键还得看批量制造时质量、可靠与经济性。
87,回复@减肥无望:知识产权是我们的哎，无知者无畏
88,回复@诗词苑:可是你们说是国产哦，自主研发
89,回复@stape:让我笑会儿
90,飞几年再说好不好！建议领导专机先飞起来，各省领导，各部委领导！
91,能迈出这一步真的不容易，真的是几代人的期望，和平时代更要抓紧时间，真的是感激背后付出的所有人！你们，为🇨🇳
92,回复@Steel_ai:个人觉得造这飞机还有其它目的，比如军事方面，可以改成空军的预警机。民航商飞可能只是个借口，想想看，如果c919真是用于民用，完全可以选择成本更低的现成品（波音一类的外国客机），为什么还要自己研发呢？
93,回复@虫叽叽-音频怪物1212生日快乐:自己去查全中国有多少贫困人口
94,回复@小咸-咸咸说:国产成熟后的话，在航材这块应该可以节约不少成本。国产应该维修更方便，外国飞机是全英文手册，因为随时更新，都是没翻译成中文的，而且即使同型号的飞机手册也有差异，所以现在我们都直接使用在线手册，光维修使用的一个AMM手册就几万到十几万页这个数量级了（具体我现在不清楚了）
95,回复@减肥无望:自主化和国产化不是一个概念
96,回复@小咸-咸咸说:这个是否为军用我不知道，但目前报道出来C919明显比同类型空客和波音便宜不少，国内市场又巨大，B737系列和A320系列一亿美金左右，而且考虑到买飞机后后续投入的航材费用，单独买的航材是非常贵的，航材储备也麻烦，需要根据飞机数量和更换频率，小公司为了节约成本航材不足，有时候需要向其他公司借件
97,期待，然后从上海回北京时争取坐上
98,回复@yaya丫伟:因为我们生活不如意啊，生活在最底层，您可满意
99,喷它的人等国产飞机普及化了也别去坐，一耳刮子给你扇回去
100,回复@温斯顿的花园:工作号和私人号可能是登错了
101,回复@ajielu啊界:还好有清醒的
102,回复@温斯顿的花园:第一段话你就在偷换概念，果然狗改不了吃屎！
103,回复@减肥无望:自主研发是指在不侵犯他人（国）知识产权的条件下，依靠自己的科技知识，进行的研究和发明。搞不懂你们这些喷子心里为啥这么黑暗
104,回复@逢坂河合律:C919是商飞公司的啊，人家是公司商业飞机，用啥发动机都是别人公司自己的事。再说了，等过两年商飞自己的发动机研制出来了，你还有啥喷点呢？
105,回复@专sha五毛小粉共清:
106,回复@北斗尾宿:这是战斗号…专打小粉蛆，共青狗的
107,回复@韩高级hgj:哈哈哈他居然回我了
108,回复@温斯顿的花园:毛左思想怎么不见了
109,回复@ajielu啊界:你已经被打脸了啊
110,回复@Real-patriot-001:运八咋没下马？就运十那玩意，造出来根本就对波音和空客没有竞争力。下马是对的，民航飞机还是要商飞来做
111,运10一直研制到80年代末，才被矮子终止，因为美国不希望看到中国有大飞机，民用大飞机和军用不一样，难点就是发动机，要一个过程的，发动机必须是性能和燃油性价比平衡完美，否则没有生存性。。中国用了20年研制了运10，可谓堪比两弹一星的努力。。但是所有一切都化为灰烬
112,回复@loveamigo85:纵向看这几十年在大飞机上取得了长足发展，横向看确实和先进国家有不小差距，总比没有强，谁还不是从落后走向发达的，但你这一口一个“你国”着实让人讨厌
113,喷子们，精子是你爸的  卵子是你妈的  那你是还是你吗
114,回复@_陪同:感谢理解
115,回复@randolphzs:还是有明白人的
116,唱衰的不爱国就罢了，我以为这年头的文盲都会藏着点，少说话，免得丢人。结果人家不要脸，非要出来碍眼
117,回复@ajielu啊界:一些媒体吹嘘拍马屁就不要理了，但我们还是要积极乐观，几十年前造出来的破飞机我能理解，但现在肯定不会了，很多东西也不需要摸索了，有现成的可以直接借鉴和使用。我希望国产飞机成熟后能大量降低成本，也更方便
118,回复@凉凉YY1:是是是，你们怎么说的都对，别人怎么做都不行。中国全是坏的，中国不过才十三亿人，都发展了几十年还有问题，人美国三亿人，不过发展了两百年，啥问题没有。不过可以看看纪录片为什么贫穷之有钱就有庇护：金钱、权利和美国梦。
119,回复@小小小七在一起:多少个领导不是踩着别人的“尸体”往上爬的
120,回复@Real-patriot-001:同年代设计制造的运八就没下马，说白了还不是运10项目自己的问题，那个年代中国的制造业造根本没那个水平，锅别到处乱丢啊
121,回复@喵YYYYYYY:完全不一样，党组是党委的派出机构
122,回复@满村杨絮:党组党委是不一样的哦
123,就飞北京吧 不要飞其他航线 我不敢坐 因为我从不飞北京
124,回复@温斯顿的花园:毛左呢
125,回复@stape:首飞飞行员都比你值钱多了    真的
126,自主研发说明中国有这个实力和技术了。至于全球化那是减少生产投入与研发成本，都有技术都有资本，只是想少花点钱，别学到个全球化就用。现在飞机汽车零件都是全球采购。我相信未来某一天，外企会选购中国设计制造的零件。
127,耿直哥好丑。。。
128,回复@Steel_ai:是的，运十项目原型机出来后别说经济性了，光是噪声都不达标，更别提用着707的发动机航程居然比不上已经淘汰的707…没技术没钱的时候上来就造民航干线就是白花钱
129,回复@randolphzs:这个我倒是没想过，我只是觉得当时设计制造出来也跟波音空客没有可比性，毕竟是面相旅客，要乘坐舒适，也要便于驾驶操作和维修，跟发展军工两个概念，而且当时一些材料和技术方面也更受限制
130,回复@减肥无望:自主研发设计组装没毛病啊。选购的零部件也不一定非要全国产。波音空客也是全球采购，难道就不能算美国国产，法国国产？
131,回复@迪迪迪迪小朋友:就是！！为了搏出位，不择手段！！有些话也是说得出口，在下佩服！
132,回复@小鱼--小幺鸡:对待这种喷子 最好是一种高高在上的方式和他们怼 毫不留情的打脸 毕竟他们就是想得到关注嘛
133,回复@Steel_ai:我是刚刚听说到现在还在拼命吹捧运十项目的大多数都是意在贬低邓…
134,回复@loveamigo85:别回复小粉红了，被洗脑的已经很彻底了，说啥都没用
135,"回复@大蒜头正在戒喷:你國得什麼錢 拉動誰的經濟了？你國全地球第一大乙方國,  負責佔別國經濟的便宜"
136,回复@人数众多没名字可以用了:坐得起飞机，就真的会飞啊！看来得去找双翅膀给自己装上，还坐什么飞机啊！
137,回复@凉凉YY1:如果现如今你还坐不起飞机，真的应该好好检讨下自己了。
138,回复@randolphzs:妈的，我怎么遇到这小学生脑残了，早知道不评论了，真他妈踩到屎了
139,回复@减肥无望:只要是自主设计，自主施工的就算🙄
140,回复@迪迪迪迪小朋友:买不起C919的票
141,回复@Steel_ai:你看，稍微涉及点他听不懂的他就要人身攻击了，我猜你离被拉黑不远了
142,回复@凉凉YY1:不过现在还有多少“平民”坐不起飞机？
143,回复@风雨中2010:局长都不够吧，市级以上估计都难。
144,回复@凉凉YY1:老百姓想当第一批乘客根本不可能，级别不够，第一批乘客是司局部长级别。
145,回复@凉凉YY1:可是如果不是领导，又有人说敢不敢让领导先坐，就知道让老百姓送死
146,回复@迪迪迪迪小朋友:说得好像第一波乘客有你一个
147,回复@凉凉YY1:你们这些人哦 一边叫嚣领导先坐 领导先坐了又说老百姓做不起飞机 服气呢 你们这个组织都不进行培训的嘛 还是双标打脸是你们的特征呢
148,回复@Steel_ai:理性讨论，很好
149,回复@Real-patriot-001:我不懂？我就是维修飞机的。运十造出来也不实用，C919吸收了多少空客波音的经验？空客波音发展多少年升级改装才有现在的实用性和安全性，几十年前，国内工程师去哪里借鉴经验，去哪里找可靠零部件？以前西南公司图154摔飞机就是因为两个电插头设计一样的，现在你想摔都不行
150,回复@Steel_ai:你也知道C919目前还承担不了中国目前的大飞机梦，离梦想实现路长着呢。媒体恨不得把它当成火箭，一飞冲天，刚开始乘客肯定不会首选它！？
151,期待单通道窄体客机C919量产时，换装国产商用客机长江CJ-1000A涡扇引擎。
152,回复@Steel_ai:你懂啥，民航大飞机和其他飞机不一样，运10的产业链没了，所有技术人员都荒废下岗了。。。这是最重要的。。现在C919只是发动机是进口吗？将近一半都是进口的技术，根本就是波音过来人帮组装的，真正的国产是和俄罗斯联合研制的，但是我看至少5-10年才能上线。。发动机初步也是进口
153,回复@君安里:哦
154,回复@二营长de意大利炮:你们喷子能不能统一下，这样我们很为难的。
155,是是是，喷子说的对
156,回复@ajielu啊界:C919还要经过多年的更新换代系统升级，这只是一个开始。大飞机这个产业市场非常大，A320系列和B737系列一亿美金左右，国内需求量很大，而且还在高速增长。况且很多原材料和零部件要单独预备用来维修，非常贵的，领过一个螺帽航才标价国产进口差距几十倍（当然实际多少不知道），一个计算机十几万几十万
157,回复@loveamigo85:……我国跟美国不是友好国家？好好滚回去建造香港，别整天想着我国给钱拉动你们经济
158,回复@幸福的小冰米:既然是剛起步，就別一天到晚把自己描述得天下第一似的，這不好。另外怎麼不說5000年自古以來了，反而說什麼起步早晚之類的？
159,回复@与妳守月满空山雪照窗:说的简直胡扯，也不知道看不看新闻就在这大侃特侃，什么都不懂，还不嫌丢人，滚粗吧蠢货
160,回复@a20b20:运20发动机查查，从驱逐舰，潜艇，航母，歼20到导弹运输车的发动机全部国产不了
161,回复@爱笑的小张宇:各重要组件全是欧美生产的
162,我觉得，推广国产大飞机的最好办法就是：最高领导人出访专机，一律国产大飞机。当然，要实打实的国产大飞机。
163,回复@手机用户不应有恨:按你这么说买些零件拼一下就完了那么为什么到现在为止只有几个国家才能造飞机呢？设计跟组装都要技术含量的好吗 你以为随随便便敲几下键盘就变出一部飞机来那么简单？
164,回复@凉凉YY1:我是老百姓，我坐的起飞机
165,反正第一波乘客都不会是坐不起飞机的平民老百姓……呵呵呵呵
166,回复@手机用户不应有恨:你的智力和喷点连小学生都不如了
167,回复@清晨-SunP:哈哈看来这货已经在微博出名了😂
168,回复@温斯顿的花园:你家祖坟冒青烟了，终于说了句人话，
169,回复@温斯顿的花园:换风格了？
170,回复@loveamigo85:我国的事与你无关，轮不到你这外国人指指点点
171,回复@温斯顿的花园:转画风了
172,可以一坐~
173,回复@听水半夏:哪只狗眼看到我急了？
174,回复@ajielu啊界:看把你急得，是抢了你家主人的生意了？美狗
175,回复@迪迪迪迪小朋友:对对对！我也准备说这个！真是服了他们的脑回路！！醉了！！！
176,国产机跌机失事率高啊
177,不知道你们有什么好喷的，技术不都是一点点成熟的吗，从外壳开始，一步步来嘛
178,我学长参与制造，我骄傲，瑶山子女，我莫校长的学生！
179,面圣！
180,回复@董大人是也:你野爹，不和你计郊，乖儿子
181,回复@星星之火可以燎原11月5日:放你娘的屁！
182,飞北京，能禁的住大风吗老铁
183,怎么就有那么多人见不得自己国家好呢？奇怪也哉
184,回复@温斯顿的花园:公知做不下去卖号了？
185,应该说除了发动机都是自己的。造飞机最主要靠发动机？造飞机最重要的是飞机的设计、航电、机身材料和安全性，发动机只是一个比较重要的硬件罢了。别家有好的，买来用就可以了。没毛病啊，商业飞机非得什么都是自己生产的？
186,回复@Real-patriot-001:一个喷左派=政治正确的国家，我还真看不出来什么叫实事求是
187,回复@哉同学:@Perry-Leung 丑人多作怪，猪是你自己的评价？
188,回复@Perry-Leung:你多看新闻联播，猪
189,满足国内航班    无法跨洋飞行    航程太短      希望继续加油吧   不管是空客还是波音还是有很大差距的  航程   乘客人数 都太少了     我觉得安全性不存在问题   你们什么时候见过国家（中国）立项的大型项目有问题的？出事一堆责任人  反正我没见过
190,回复@哉同学:这句会对你自己说的吗
191,什么时间呢
192,回复@哉同学:多看新闻，否则会让人以为你是头猪
193,让领导先坐！为了伟大的中国梦！
194,🙏🙏🙏
195,回复@Perry-Leung:尼泊尔
196,我觉得能做到这样挺厉害的呀！那些挑刺的人真是够了。众人皆醉你独醒？哼low爆了
197,回复@诗词苑:高一地理工业区域分散也列举了福特汽车的零件来自各个各个国家
198,那些想喷的人，请查一查波音飞机是多少国家共同生产出来的我记得高中政治经济全球化说过波音飞机，，难不成你们没有学过？可是高一政治，没有文理分科啊。。或许没有上高中
199,表忠心。
200,希望国航也能早日引进C919
201,回复@Real-patriot-001:主要是把资金，滕给其它项目。国力有限啊，如果美国答应给中国出口技术，那么把研制大飞机的钱，滕给其它更紧迫的项目也是一个好选择。
202,国产大飞机从无到有，支持祖国！零件很多国家都能买，造飞机的能有几家？别一天到晚跪舔国外，膝盖不好就得治！
203,回复@手机用户不应有恨:波音787只是在美国组装，零件都从欧洲，日本和加拿大运过来来
204,回复@PrimaryBast:美国统一也受英国干扰，但是内战分裂时间短。现在的中国早已不是20年前的吴下阿蒙，要说谁还有能力阻挠统一？恐怕只在萧墙之内
205,回复@巨囧蟹:哎。美国统一的时候没有外界阻挠，康熙打台湾也没有外界阻挠。要是没有美国阻挠，98年就统一了。哎……可惜啊。
206,回复@Real-patriot-001:这样的飞机应该至少在上千架次的运营试飞才能投入实用。否则就是第二个新舟。
207,回复@我是万万是我:哈哈，我滚可以，但活我也拉着伱媽，一边滚一边襙伱嫲
208,回复@爱笑的小张宇:没有，滚
209,如果学设计一样，从模仿开始，然后不断加入自己的设计理念，最终形成自己的产品。国产大飞机从无到有那本身就是一种进步，无论是组装还是自主生产，这都展显出中国航空事业的多年的成果。况且，国产率能达50%以上，足以彰显出中国制造向中国智造转变，相信国产大飞机终会加装中国“心”，傲游天际。
210,回复@ajielu啊界:不好意思，早就有外国航空公司订单了
211,没有任何征兆，那天飞北京延误六小时的事怎么算？可是东航，准点率号称最高的公司！
212,回复@stape:啊哈哈哈是没给你发吗 不好意思我和你不是一派的 我不会说不过别人 就改话题呢
213,回复@迪迪迪迪小朋友:今天狗粮领了吗
214,中国自己的大飞机吗？
215,回复@爱笑的小张宇:那你相信啥
216,回复@凉凉YY1:嗯，你穷你有理
217,回复@a20b20:狗粮吃饱了？
218,回复@stape:你可以不坐啊，好像谁逼你坐了一样，不要给自己加戏
219,回复@PrimaryBast:美国人是在还不是强国的时候实现的统一，并且是统一后30多年才成为世界第一大经济体！我们中国也许8年后就成为世界第一大经济体了，难道我们不该加快统一的步伐了吗？！还是那句话：没有哪个强国是分裂的！
220,回复@stape:哎领导先做你又嫌领导特权不让老百姓坐 麻烦下次统一口径再喷哦
221,回复@凉凉YY1:坐飞机还分第几波？？兄弟醒醒，别迷了
222,回复@ajielu啊界:未来十年，中国民用航空市场就有2000架的需求量
223,回复@ajielu啊界:说之前也去查一查嘛，国外订单几十架，被自己打脸是不是非常骄傲？
224,回复@二营长de意大利炮:啊哈哈哈你和你楼上统一一下吧 到底想让老百姓坐还是领导哦 你们这样 难怪说话一点用都没有呢
225,回复@ajielu啊界:扎实推进，象高铁白菜价不是没有可能的
226,回复@逢坂河合律:经济全球化的现在 自主的含义就是不会被牵制 自主研发没毛病 祖国在慢慢发展 大清亡了 谢谢 自称是东南大学的那个人？
227,回复@Warm威阿威:关键部件的知识产权全部是自己的，苹果三星的处理器都是自己的。
228,回复@逢坂河合律:你这智商也是谁了，苹果公司那么牛逼，它也不也是用其他公司的零件和配件。企业之间本身就是链条，研制出来成本以后，把设计图给制造公司和企业，按照标准去生产零部件，尤其是国际标准的东西，肯定要选择国际影响和质量好的企业来生产
229,回复@手机用户不应有恨:哎 就是不能和你这种人说话 我连冲你扫盲的意愿都没有了呢 有本事有本事 有本事你不要逼逼不要忽略发动机以外其他部件以及总体设计的重要性 不懂呢 可以去了解 但是从什么朋友圈贴吧拾人牙慧的东西 没有理解就不要卖弄了好嘛 显得没有脑子 无知不可怕 可怕的是无知的装B哦
230,回复@巨囧蟹:中国什么时候是强国的？我们还是发展中国家。我们官方说明都是我们只是大国，正在强国的路上，有着强国的梦而已。既然你都说美国分裂的时候不算强国了，那为啥要拿中国说事？我们也不是强国啊
231,回复@巨囧蟹:至于康熙，7月8号出兵，满打满算两万人，27号郑氏台湾就投降了看看人家郑成功的后人，多有觉悟。现在的蔡英文啊，真是不识趣。
232,回复@PrimaryBast:美国是从1894年开始取代英国成为第一大经济体，南北分裂时的美国能叫强国？玩什么文字游戏！至于其他那些国家现在也能叫强国？！康熙才用几年就统一台湾了？你知道吗！
233,回复@逢坂河合律:什么？运20被你吃了
234,回复@逢坂河合律:好像你是圈内人呀，那些关键零部件不能造跟我们科普一下。
